Date,Value,Ratio,HALF_YEAR
1996/9/20,687.030029,110.5758741,105.2871267
1996/9/23,686.47998,110.4873451,105.2871267
1996/9/24,685.609985,110.3473214,105.2871267
1996/9/25,685.830017,110.382735,105.2871267
1996/9/26,685.859985,110.3875583,105.2871267
1996/9/27,686.190002,110.4406738,105.2871267
1996/9/30,687.330017,110.6241565,105.2871267
1996/10/1,689.080017,110.9058149,105.2871267
1996/10/2,694.01001,111.6992857,105.2871267
1996/10/3,692.780029,111.5013232,105.2871267
1996/10/4,701.460022,112.8983477,105.2871267
1996/10/7,703.340027,113.2009301,105.2871267
1996/10/8,700.640015,112.7663695,105.2871267
1996/10/9,696.73999,112.1386696,105.2871267
1996/10/10,694.609985,111.7958503,105.2871267
1996/10/11,700.659973,112.7695817,105.2871267
1996/10/14,703.539978,113.2331118,105.2871267
1996/10/15,702.570007,113.0769972,105.2871267
1996/10/16,704.409973,113.3731354,105.2871267
1996/10/17,706.98999,113.7883831,105.2871267
1996/10/18,710.820007,114.4048154,105.2871267
1996/10/21,709.849976,114.2486912,105.2871267
1996/10/22,706.570007,113.7207878,105.2871267
1996/10/23,707.27002,113.8334533,105.2871267
1996/10/24,702.289978,113.0319272,105.2871267
1996/10/25,700.919983,112.8114297,105.2871267
1996/10/28,697.26001,112.2223656,105.2871267
1996/10/29,701.5,112.9047821,105.2871267
1996/10/30,700.900024,112.8082174,105.2871267
1996/10/31,705.27002,113.511558,105.2871267
1996/11/1,703.77002,113.2701365,105.0631973
1996/11/4,706.72998,113.7465351,105.5050787
1996/11/5,714.140015,114.9391629,106.6112951
1996/11/6,724.590027,116.6210679,108.1713384
1996/11/7,727.650024,117.1135672,108.6281539
1996/11/8,730.820007,117.6237686,109.1013888
1996/11/11,731.869995,117.7927617,109.2581376
1996/11/12,729.559998,117.4209731,108.9132868
1996/11/13,731.130005,117.673662,109.1476673
1996/11/14,735.880005,118.4381634,109.856777
1996/11/15,737.619995,118.7182107,110.1165336
1996/11/18,737.02002,118.6216461,110.0269656
1996/11/19,742.159973,119.4489095,110.79429
1996/11/20,743.950012,119.7370121,111.0615182
1996/11/21,742.75,119.543873,110.8823729
1996/11/22,748.72998,120.5063368,111.7751018
1996/11/25,757.030029,121.8422102,113.0141851
1996/11/26,755.960022,121.6699951,112.8544477
1996/11/27,755,121.5154818,112.7111296
1996/11/29,757.02002,121.8405993,113.0126909
1996/12/2,756.559998,121.7665598,112.9440159
1996/12/3,748.280029,120.4339182,111.7079303
1996/12/4,745.099976,119.9220961,111.233192
1996/12/5,744.380005,119.8062185,111.1257103
1996/12/6,739.599976,119.036884,110.4121176
1996/12/9,749.76001,120.6721177,111.9288711
1996/12/10,747.539978,120.3148087,111.5974508
1996/12/11,740.72998,119.2187555,110.5808117
1996/12/12,729.299988,117.3791251,108.8744709
1996/12/13,728.640015,117.2729039,108.775946
1996/12/16,720.97998,116.0400393,107.6324079
1996/12/17,726.039978,116.8544341,108.3877961
1996/12/18,731.539978,117.7396462,109.2088706
1996/12/19,745.76001,120.028327,111.3317261
1996/12/20,748.869995,120.5288718,111.7960041
1996/12/23,746.919983,120.215022,111.5048941
1996/12/24,751.030029,120.8765243,112.1184675
1996/12/26,755.820007,121.64746,112.8335454
1996/12/27,756.789978,121.8035746,112.9783488
1996/12/30,753.849976,121.3303881,112.5394469
1996/12/31,740.73999,119.2203666,110.582306
1997/1/2,737.01001,118.620035,110.0254712
1997/1/3,748.030029,120.3936813,111.6706087
1997/1/6,747.650024,120.3325204,111.6138792
1997/1/7,753.22998,121.2306012,112.44689
1997/1/8,748.409973,120.4548324,111.7273291
1997/1/9,754.849976,121.4913358,112.6887331
1997/1/10,759.5,122.2397463,113.3829178
1997/1/13,759.51001,122.2413573,113.3844122
1997/1/14,768.859985,123.7462139,114.780235
1997/1/15,767.200012,123.4790452,114.5324239
1997/1/16,769.75,123.8894598,114.913102
1997/1/17,776.169983,124.922741,115.8715173
1997/1/20,776.700012,125.0080479,115.9506434
1997/1/21,782.719971,125.9769462,116.8493406
1997/1/22,786.22998,126.5418739,117.3733367
1997/1/23,777.559998,125.1464606,116.0790275
1997/1/24,770.52002,124.0133927,115.0280555
1997/1/27,765.02002,123.1281805,114.206981
1997/1/28,765.02002,123.1281805,114.206981
1997/1/29,772.5,124.3320658,115.3236393
1997/1/30,784.169983,126.2103222,117.0658074
1997/1/31,786.159973,126.5306065,117.3628856
1997/2/3,786.72998,126.6223478,117.4479798
1997/2/4,789.26001,127.0295502,117.8256786
1997/2/5,778.280029,125.2623479,116.1865182
1997/2/6,780.150024,125.5633193,116.4656828
1997/2/7,789.559998,127.0778325,117.8704626
1997/2/10,785.429993,126.4131179,117.2539096
1997/2/11,789.590027,127.0826656,117.8749456
1997/2/12,802.77002,129.2039546,119.8425375
1997/2/13,811.820007,130.6605289,121.1935762
1997/2/14,808.47998,130.1229593,120.6949561
1997/2/18,816.289978,131.3799602,121.8608815
