Date,Value,Ratio,NEW_HALF_YEAR
1996/12/4,745.099976,119.9220961,110.7307364
1996/12/5,744.380005,119.8062185,110.6237401
1996/12/6,739.599976,119.036884,109.9133708
1996/12/9,749.76001,120.6721177,111.423273
1996/12/10,747.539978,120.3148087,111.0933498
1996/12/11,740.72998,119.2187555,110.0813029
1996/12/12,729.299988,117.3791251,108.3826699
1996/12/13,728.640015,117.2729039,108.28459
1996/12/16,720.97998,116.0400393,107.1462175
1996/12/17,726.039978,116.8544341,107.8981935
1996/12/18,731.539978,117.7396462,108.7155591
1996/12/19,745.76001,120.028327,110.8288253
1996/12/20,748.869995,120.5288718,111.2910062
1996/12/23,746.919983,120.215022,111.0012111
1996/12/24,751.030029,120.8765243,111.6120129
1996/12/26,755.820007,121.64746,112.3238608
1996/12/27,756.789978,121.8035746,112.46801
1996/12/30,753.849976,121.3303881,112.0310907
1996/12/31,740.73999,119.2203666,110.0827905
1997/1/2,737.01001,118.620035,110.0827905
1997/1/3,748.030029,120.3936813,110.0827905
1997/1/6,747.650024,120.3325204,110.0827905
1997/1/7,753.22998,121.2306012,110.0827905
1997/1/8,748.409973,120.4548324,110.0827905
1997/1/9,754.849976,121.4913358,110.0827905
1997/1/10,759.5,122.2397463,110.0827905
1997/1/13,759.51001,122.2413573,110.0827905
1997/1/14,768.859985,123.7462139,110.0827905
1997/1/15,767.200012,123.4790452,110.0827905
1997/1/16,769.75,123.8894598,110.0827905
1997/1/17,776.169983,124.922741,110.0827905
1997/1/20,776.700012,125.0080479,110.0827905
1997/1/21,782.719971,125.9769462,110.0827905
1997/1/22,786.22998,126.5418739,110.0827905
1997/1/23,777.559998,125.1464606,110.0827905
1997/1/24,770.52002,124.0133927,110.0827905
1997/1/27,765.02002,123.1281805,110.0827905
1997/1/28,765.02002,123.1281805,110.0827905
1997/1/29,772.5,124.3320658,110.0827905
1997/1/30,784.169983,126.2103222,110.0827905
1997/1/31,786.159973,126.5306065,110.0827905
1997/2/3,786.72998,126.6223478,110.0827905
1997/2/4,789.26001,127.0295502,110.0827905
1997/2/5,778.280029,125.2623479,110.0827905
1997/2/6,780.150024,125.5633193,110.0827905
1997/2/7,789.559998,127.0778325,110.0827905
1997/2/10,785.429993,126.4131179,110.0827905
1997/2/11,789.590027,127.0826656,110.0827905
1997/2/12,802.77002,129.2039546,110.0827905
1997/2/13,811.820007,130.6605289,110.0827905
1997/2/14,808.47998,130.1229593,110.0827905
1997/2/18,816.289978,131.3799602,110.0827905
1997/2/19,812.48999,130.768361,110.0827905
1997/2/20,802.799988,129.2087779,110.0827905
1997/2/21,801.77002,129.043007,110.0827905
1997/2/24,810.280029,130.412673,110.0827905
1997/2/25,812.030029,130.6943314,110.0827905
1997/2/26,805.679993,129.672308,110.0827905
1997/2/27,795.070007,127.9646556,110.0827905
1997/2/28,790.820007,127.280628,110.0827905
1997/3/3,795.309998,128.0032816,110.7078009
1997/3/4,790.950012,127.301552,110.1008873
1997/3/5,801.98999,129.0784106,111.6376613
1997/3/6,798.559998,128.5263615,111.1602036
1997/3/7,804.969971,129.5580316,112.0524771
1997/3/10,813.650024,130.9550658,113.2607475
1997/3/11,811.340027,130.5832772,112.9391941
1997/3/12,804.26001,129.443765,111.9536499
1997/3/13,789.559998,127.0778325,109.9073962
1997/3/14,793.169983,127.6588512,110.4099091
1997/3/17,795.710022,128.0676645,110.7634846
1997/3/18,789.659973,127.0939233,109.9213128
1997/3/19,785.77002,126.4678445,109.3798282
1997/3/20,782.650024,125.9656884,108.9455222
1997/3/21,784.099976,126.1990548,109.1473567
1997/3/24,790.890015,127.2918957,110.0925357
1997/3/25,789.070007,126.9989696,109.8391891
1997/3/26,790.5,127.2291237,110.0382453
1997/3/27,773.880005,124.5541744,107.7247284
1997/3/31,757.119995,121.85669,105.3917213
1997/4/1,759.640015,122.2622813,105.7425102
1997/4/2,750.109985,120.7284453,104.4159222
1997/4/3,750.320007,120.7622479,104.4451575
1997/4/4,757.900024,121.9822339,105.500302
1997/4/7,762.130005,122.6630394,106.0891188
1997/4/8,766.119995,123.3052189,106.6445287
1997/4/9,760.599976,122.4167848,105.8761375
1997/4/10,758.340027,122.0530513,105.5615508
1997/4/11,737.650024,118.7230438,102.6814855
1997/4/14,743.72998,119.7015985,103.5278203
1997/4/15,754.719971,121.4704118,105.057636
1997/4/16,763.530029,122.88837,106.2840033
1997/4/17,761.77002,122.6051007,106.0390086
1997/4/18,766.340027,123.3406326,106.6751573
1997/4/21,760.369995,122.3797699,105.844124
1997/4/22,774.609985,124.671663,107.8263422
1997/4/23,773.640015,124.5155486,107.6913216
1997/4/24,771.179993,124.1196138,107.3488845
1997/4/25,765.369995,123.1845082,106.5401281
1997/4/28,772.960022,124.4061053,107.596666
1997/4/29,794.049988,127.8004859,110.5324065
1997/4/30,801.340027,128.9738006,111.5471859
1997/5/1,798.530029,128.521538,111.5471859
1997/5/2,812.969971,130.8456129,111.5471859
1997/5/5,830.289978,133.6332274,111.5471859
1997/5/6,827.76001,133.226035,111.5471859
1997/5/7,815.619995,131.272128,111.5471859
1997/5/8,820.26001,132.0189276,111.5471859
1997/5/9,824.780029,132.746414,111.5471859
1997/5/12,837.659973,134.8194109,111.5471859
1997/5/13,833.130005,134.0903231,111.5471859
1997/5/14,836.039978,134.5586765,111.5471859
1997/5/15,841.880005,135.4986151,111.5471859
1997/5/16,829.75,133.5463192,111.5471859
1997/5/19,833.27002,134.1128582,111.5471859
1997/5/20,841.659973,135.4632015,111.5471859
1997/5/21,839.349976,135.0914129,111.5471859
1997/5/22,835.659973,134.4975155,111.5471859
1997/5/23,847.030029,136.3274994,111.5471859
1997/5/27,849.710022,136.758838,111.5471859
1997/5/28,847.210022,136.3564689,111.5471859
1997/5/29,844.080017,135.8527019,111.5471859
1997/5/30,848.280029,136.528684,111.5471859
1997/6/2,846.359985,136.2196574,111.5471859
1997/6/3,845.47998,136.0780227,111.5471859
1997/6/4,840.109985,135.2137346,111.5471859
1997/6/5,843.429993,135.7480821,111.5471859
1997/6/6,858.01001,138.0947017,111.5471859
1997/6/9,862.909973,138.8833392,111.5471859
1997/6/10,865.27002,139.2631833,111.5471859
1997/6/11,869.570007,139.9552561,111.5471859
1997/6/12,883.460022,142.1908215,111.5471859
1997/6/13,893.27002,143.7697177,111.5471859
1997/6/16,893.900024,143.8711154,111.5471859
1997/6/17,894.419983,143.9548015,111.5471859
1997/6/18,889.059998,143.0921245,111.5471859
