Date, Open, High, Low, Close
01/28/05, 1141.67, 1142.46, 1133.46, 1140.70
01/27/05, 1147.40, 1147.40, 1140.07, 1141.94
01/26/05, 1143.15, 1145.27, 1142.27, 1144.89
01/25/05, 1137.42, 1138.34, 1132.92, 1138.03
01/24/05, 1130.74, 1139.50, 1130.74, 1139.18
01/21/05, 1128.75, 1134.71, 1128.75, 1132.18
01/20/05, 1138.73, 1138.73, 1132.57, 1133.37
01/19/05, 1149.08, 1150.27, 1144.01, 1144.30
01/18/05, 1151.08, 1151.54, 1142.79, 1145.21
01/17/05, 1148.40, 1152.89, 1147.21, 1150.30
01/14/05, 1137.92, 1148.65, 1134.56, 1145.69
01/13/05, 1144.24, 1145.76, 1139.22, 1140.04
01/12/05, 1155.34, 1156.39, 1146.91, 1147.89
01/11/05, 1151.33, 1158.43, 1151.33, 1157.30
01/07/05, 1151.36, 1151.36, 1144.41, 1145.76
01/06/05, 1137.98, 1148.21, 1137.98, 1147.97
01/05/05, 1148.61, 1148.64, 1143.36, 1143.36
01/04/05, 1147.24, 1154.19, 1145.59, 1153.38
12/30/04, 1144.72, 1149.63, 1144.72, 1149.63
12/29/04, 1145.68, 1147.06, 1139.15, 1139.41
12/28/04, 1131.89, 1140.19, 1131.36, 1140.19
12/27/04, 1135.52, 1136.24, 1131.87, 1134.61
12/24/04, 1128.47, 1136.04, 1128.47, 1134.59
12/22/04, 1122.42, 1124.90, 1120.16, 1122.47
12/21/04, 1112.88, 1119.69, 1112.88, 1116.34
12/20/04, 1109.69, 1113.70, 1107.55, 1109.76
12/17/04, 1101.58, 1114.02, 1100.86, 1111.35
12/16/04, 1098.62, 1104.99, 1095.12, 1101.07
12/15/04, 1100.85, 1105.45, 1099.87, 1101.72
12/14/04, 1090.54, 1099.55, 1087.71, 1099.55
12/13/04, 1087.99, 1090.57, 1085.11, 1085.84
12/10/04, 1086.49, 1090.26, 1083.79, 1083.79
12/09/04, 1099.73, 1099.84, 1083.64, 1087.56
12/08/04, 1089.25, 1099.69, 1089.06, 1099.69
12/07/04, 1102.38, 1105.23, 1093.68, 1093.68
12/06/04, 1107.86, 1107.96, 1102.28, 1103.70
12/03/04, 1110.21, 1112.37, 1108.08, 1110.53
12/02/04, 1099.88, 1105.38, 1099.16, 1105.38
12/01/04, 1090.35, 1091.13, 1084.62, 1087.36
11/30/04, 1099.36, 1100.48, 1094.79, 1098.79
11/29/04, 1092.77, 1105.11, 1092.77, 1103.60
11/26/04, 1096.96, 1099.15, 1091.21, 1091.21
11/25/04, 1091.13, 1095.01, 1088.52, 1094.45
11/24/04, 1088.66, 1095.38, 1088.52, 1090.93
11/22/04, 1098.89, 1098.89, 1084.96, 1089.77
11/19/04, 1114.15, 1116.15, 1107.83, 1109.77
11/18/04, 1119.41, 1123.60, 1109.30, 1110.25
11/17/04, 1117.13, 1120.03, 1114.46, 1114.61
11/16/04, 1124.18, 1127.45, 1119.02, 1120.37
11/15/04, 1109.51, 1123.47, 1109.51, 1123.47
11/12/04, 1090.48, 1104.02, 1090.48, 1104.02
11/11/04, 1103.57, 1105.45, 1091.13, 1091.13
11/10/04, 1100.75, 1104.44, 1098.85, 1100.74
11/09/04, 1101.71, 1106.03, 1097.74, 1100.33
11/08/04, 1115.08, 1115.21, 1102.38, 1102.71
11/05/04, 1108.36, 1112.81, 1107.89, 1112.13
11/04/04, 1106.00, 1108.15, 1101.89, 1101.89
11/02/04, 1083.99, 1094.88, 1083.94, 1094.88
11/01/04, 1081.62, 1081.64, 1077.17, 1080.50
10/29/04, 1086.65, 1086.65, 1080.07, 1085.43
10/28/04, 1085.05, 1092.35, 1084.63, 1090.25
10/27/04, 1079.32, 1083.14, 1072.96, 1074.29
10/26/04, 1073.83, 1074.93, 1070.60, 1073.20
10/25/04, 1078.98, 1078.98, 1068.85, 1075.12
10/22/04, 1089.48, 1093.79, 1086.91, 1090.84
10/21/04, 1094.22, 1095.00, 1081.96, 1085.11
10/20/04, 1104.89, 1104.89, 1093.27, 1093.94
10/19/04, 1106.29, 1111.27, 1106.06, 1108.65
10/18/04, 1107.77, 1107.77, 1098.14, 1101.11
10/15/04, 1103.08, 1107.67, 1099.39, 1105.39
10/14/04, 1120.64, 1120.64, 1109.64, 1109.64
10/13/04, 1127.59, 1131.75, 1123.46, 1123.46
10/12/04, 1135.72, 1137.64, 1125.94, 1126.80
10/08/04, 1136.64, 1141.64, 1136.03, 1140.06
10/07/04, 1149.20, 1149.85, 1141.71, 1141.84
10/06/04, 1133.93, 1147.69, 1133.93, 1147.69
10/05/04, 1138.39, 1141.82, 1137.14, 1140.12
10/04/04, 1128.37, 1139.45, 1127.95, 1139.45
10/01/04, 1105.85, 1117.29, 1105.51, 1117.29
09/30/04, 1097.76, 1107.17, 1096.46, 1102.11
09/29/04, 1097.37, 1097.37, 1088.02, 1089.02
09/28/04, 1088.86, 1091.62, 1083.44, 1090.37
09/27/04, 1099.54, 1101.13, 1088.95, 1095.24
09/24/04, 1105.02, 1105.02, 1097.33, 1102.37
09/22/04, 1120.01, 1121.11, 1108.91, 1114.08
09/21/04, 1122.49, 1123.14, 1115.57, 1116.02
09/17/04, 1123.63, 1124.21, 1116.74, 1118.55
09/16/04, 1121.91, 1126.58, 1120.33, 1122.01
09/15/04, 1140.31, 1141.22, 1128.43, 1128.43
09/14/04, 1143.92, 1146.68, 1140.87, 1141.70
09/13/04, 1131.71, 1139.64, 1131.49, 1138.84
09/10/04, 1128.45, 1129.15, 1118.00, 1126.36
09/09/04, 1142.67, 1146.13, 1133.12, 1133.12
09/08/04, 1148.33, 1150.35, 1143.00, 1144.13
09/07/04, 1145.07, 1146.45, 1139.94, 1144.70
09/06/04, 1129.88, 1144.85, 1128.72, 1143.04
09/03/04, 1139.88, 1140.31, 1124.59, 1124.65
