Date,Close,TOPIX,HALF_YEAR
2012/10/9,727.68,44.61393204,173.7591263918553
2012/10/10,716.84,43.94933356,173.7591263918553
2012/10/11,713.95,43.77214817,173.7591263918553
2012/10/12,718.32,44.0400721,173.7591263918553
2012/10/15,722.99,44.32638897,173.7591263918553
2012/10/16,732.4,44.90331441,173.7591263918553
2012/10/17,739.79,45.356394,173.7591263918553
2012/10/18,752.3,46.12337989,173.7591263918553
2012/10/19,754.39,46.25151742,173.7591263918553
2012/10/22,753.72,46.21043984,173.7591263918553
2012/10/23,749.37,45.94374211,173.7591263918553
2012/10/24,743.27,45.56975219,173.7591263918553
2012/10/25,751.42,46.06942724,173.7591263918553
2012/10/26,741.23,45.44468015,173.7591263918553
2012/10/29,740.3,45.38766201,173.7591263918553
2012/10/30,733.46,44.96830282,173.7591263918553
2012/10/31,742.33,45.51212095,173.7591263918553
2012/11/1,743.32,45.57281768,173.99085830325595
2012/11/2,752.09,46.11050483,176.04367516843277
2012/11/5,747.95,45.85668216,175.07461452091644
2012/11/6,744.88,45.668461,174.35601157191323
2012/11/7,745.71,45.71934815,174.55029183273177
2012/11/8,735.35,45.08417839,172.12529953827521
2012/11/9,730.74,44.8015401,171.0462247483035
2012/11/12,722.58,44.30125195,169.1361922102968
2012/11/13,722.56,44.30002575,169.1315107444294
2012/11/14,722.41,44.29082928,169.0963998649596
2012/11/15,737.51,45.2166076,172.63089636299023
2012/11/16,751.34,46.06452246,175.86812069472666
2012/11/19,762.16,46.72789474,178.4007863987049
2012/11/20,762.04,46.72053756,178.3726976798576
2012/11/21,767.01,47.02524739,179.53603862637112
2012/11/22,776.43,47.60278592,181.7410026740956
2012/11/26,779.5,47.79100708,182.4596056230988
2012/11/27,781.6,47.9197577,182.95115808839014
2012/11/28,771.39,47.29378441,180.56127667340337
2012/11/29,779.44,47.78732849,182.4455612636752
2012/11/30,781.46,47.91117433,182.91838794185412
2012/12/3,781.73,47.92772798,182.98158754017115
2012/12/4,781.97,47.94244234,183.0377649778657
2012/12/5,781.86,47.93569826,183.01201699195215
2012/12/6,788.74,48.35750984,184.62243659255236
2012/12/7,790.24,48.44947457,184.973545501786
2012/12/10,788.48,48.34156929,184.56157772716907
2012/12/11,786.07,48.19381261,183.99746269364718
2012/12/12,791.29,48.51384989,185.2193217726103
2012/12/13,799.21,48.99942369,187.07317691110111
2012/12/14,801.04,49.11162066,187.5015297780754
2012/12/17,807.84,49.52852746,189.0932235915632
2012/12/18,816.85,50.08092897,191.20221789443457
2012/12/19,839.34,51.45978689,196.4665110672556
2012/12/20,838.61,51.41503072,196.2956380594169
2012/12/21,832.72,51.05391586,194.91695033203868
2012/12/25,838.01,51.37824482,196.15519446518053
2012/12/26,847.71,51.97295011,198.42569888233436
2012/12/27,854.09,52.36410678,199.91908217985673
2012/12/28,859.8,52.71418587,201.25563682896401
2013/1/4,888.51,54.47439089,207.97586168690393
2013/1/7,881.06,54.01763271,206.23202069086847
2013/1/8,871.88,53.45480853,204.0832340426599
