Date,Value,Ratio,HALF_YEAR
2011/4/29,1392.894,220.57470973136293,251.78216703181573
2011/5/31,1357.709,215.0029137713703,251.78216703181573
2011/6/30,1330.121,210.63415700160257,251.78216703181573
2011/7/29,1297.87,205.52698088946033,251.78216703181573
2011/8/31,1204.864,190.7988167554522,251.78216703181573
2011/9/30,1090.262,172.65077183269884,251.78216703181573
2011/10/31,1215.009,192.40534993760727,251.78216703181573
2011/11/30,1184.585,187.58749231967872,245.4775053792881
2011/12/30,1181.536,187.10466140076392,244.8456715185677
2012/1/31,1240.27,196.40560964331635,257.01691782081457
2012/2/29,1297.641,205.49071710447137,268.90571428634064
2012/3/30,1311.769,207.72798677401167,271.83341149337815
2012/4/30,1296.143,205.25349810921574,268.59528886050947
2012/5/31,1179.559,186.79158933559677,268.59528886050947
2012/6/29,1237.608,195.98406293746157,268.59528886050947
2012/7/31,1256.822,199.02673701946523,268.59528886050947
2012/8/31,1289.209,204.15544970260527,268.59528886050947
2012/9/28,1323.14,209.52866580942668,268.59528886050947
2012/10/31,1314.373,208.14034876576443,268.59528886050947
2012/11/30,1326.976,210.13612379727755,271.1707422710018
2012/12/31,1346.094,213.16359559387095,275.07755162605946
2013/1/31,1415.114,224.09340537527473,289.18195489450176
2013/2/28,1411.368,223.500199529996,288.4164507704278
2013/3/29,1438.164,227.74353744512922,293.8922779217054
2013/4/30,1471.734,233.05958662452252,300.7523882914766
2013/5/31,1475.793,233.70235825452423,300.7523882914766
2013/6/28,1431.186,226.6385213243724,300.7523882914766
2013/7/31,1512.148,239.4594320679542,300.7523882914766
2013/8/30,1476.648,233.8377536089592,300.7523882914766
2013/9/30,1543.63,244.4448315396748,300.7523882914766
2013/10/31,1608.81,254.76654990466898,300.7523882914766
2013/11/29,1634.71,258.86799982264,305.5941575847737
2013/12/31,1669.505,264.37803649815356,312.09876617783436
2014/1/31,1606.719,254.43542512557718,300.36149487092507
2014/2/28,1692.274,267.98367021175517,316.3552235152506
2014/3/31,1693.698,268.2091707786737,316.6214273559322
2014/4/30,1712.839,271.24028478948003,320.1996631104882
2014/5/30,1737.299,275.11370042629744,320.1996631104882
2014/6/30,1760.613,278.8056387810301,320.1996631104882
2014/7/31,1727.703,273.5941053138322,320.1996631104882
2014/8/29,1769.007,280.13488861158794,320.1996631104882
2014/9/30,1715.717,271.69603663750786,320.1996631104882
2014/10/31,1728.406,273.70543038303424,320.1996631104882
2014/11/28,1762.552,279.11269327488895,326.525455601703
2014/12/31,1732.051,274.2826421572043,320.8749256194344
2015/1/30,1693.168,268.125241494638,313.6715697523955
2015/2/27,1788.836,283.27495233450094,331.3947559542799
2015/3/31,1752.104,277.45817787940786,324.58988833326123
2015/4/30,1787.695,283.09426683811466,331.1833774844013
2015/5/29,1786.554,282.9135813417284,331.1833774844013
2015/6/30,1741.539,275.78513469858297,331.1833774844013
2015/7/31,1773.777,280.89025216790924,331.1833774844013
2015/8/31,1651.383,261.5082884126914,331.1833774844013
2015/9/30,1593.37,252.32151566785538,331.1833774844013
2015/10/30,1714.789,271.5490812118755,331.1833774844013
2015/11/30,1703.93,269.8294810319818,329.086139692403
2015/12/31,1668.74,264.2568932862907,322.28976821248557
2016/1/29,1571.345,248.83369966618315,303.479520975016
2016/2/29,1558.985,246.8764054196147,301.0923896453263
2016/3/31,1664.591,263.59986951371684,321.4884568947766
2016/4/29,1682.511,266.4376294569617,324.9494110556212
2016/5/31,1688.354,267.3629102241704,324.9494110556212
2016/6/30,1668.898,264.2819137143617,324.9494110556212
2016/7/29,1734.485,274.6680834352097,324.9494110556212
2016/8/31,1731.404,274.18018508782484,324.9494110556212
2016/9/30,1736.797,275.03420514217305,324.9494110556212
2016/10/31,1696.188,268.6034800565019,324.9494110556212
